"node","parent","crit"
"959","0",0
"960","0",0
"964","0",0
"978","0",0
"1008","0",0
"1010","0",0
"320","0",0
"372","0",0
"879","0",0
"550","0",0
"1009","0",0
"1017","0",0
"1021","0",0
"608","15",5
"25","26",1
"27","26",0
"23","29",1
"28","29",2
"30","29",1
"18","32",1
"31","32",2
"35","32",1
"40","43",2
"41","43",3
"44","43",2
"12","57",6
"42","57",6
"463","57",5
"63","61",2
"67","66",6
"52","71",2
"53","71",3
"69","71",1
"72","71",1
"79","81",1
"80","81",4
"553","81",3
"10","83",4
"119","83",1
"84","86",1
"90","86",1
"5","95",2
"14","95",2
"91","95",4
"94","95",3
"1016","95",1
"96","97",1
"98","97",1
"1","101",1
"102","101",1
"122","124",1
"363","124",4
"131","130",1
"135","148",3
"172","148",2
"203","154",5
"456","157",6
"146","170",5
"659","170",5
"175","174",1
"169","177",6
"200","177",6
"213","184",6
"189","190",1
"222","190",6
"137","196",1
"193","196",2
"194","196",5
"202","196",4
"406","208",4
"183","215",6
"273","215",1
"89","230",3
"150","230",5
"206","230",5
"207","230",6
"356","230",4
"847","234",2
"877","242",1
"225","245",4
"256","245",4
"187","247",5
"264","247",6
"220","258",3
"263","258",5
"139","265",3
"167","265",4
"191","265",3
"285","265",1
"319","266",5
"192","269",2
"283","269",3
"722","304",6
"173","311",5
"201","311",5
"276","311",1
"307","311",2
"309","311",3
"815","311",3
"947","315",1
"250","316",1
"275","316",2
"308","316",2
"386","316",3
"292","335",2
"342","335",2
"228","336",3
"334","336",3
"347","336",3
"6","353",3
"585","353",6
"660","354",1
"807","391",6
"797","392",3
"703","395",3
"389","399",2
"402","399",2
"99","410",0
"338","410",6
"361","410",6
"380","410",1
"398","410",4
"429","410",1
"385","412",4
"472","412",2
"396","424",1
"511","424",1
"240","425",3
"804","425",3
"857","430",5
"409","435",1
"418","435",6
"784","435",1
"379","437",1
"397","437",4
"705","437",1
"880","445",1
"447","455",1
"467","455",6
"443","458",1
"459","458",0
"368","460",1
"452","460",6
"617","460",1
"580","494",1
"198","521",4
"487","521",1
"773","521",1
"16","522",1
"357","522",3
"586","522",1
"876","525",3
"291","530",6
"457","530",6
"540","530",6
"801","562",1
"886","569",3
"421","570",4
"650","570",3
"714","572",2
"816","590",4
"489","593",3
"602","593",6
"446","594",1
"462","594",3
"534","594",3
"723","594",1
"349","597",2
"584","597",4
"614","597",5
"62","600",3
"519","600",3
"601","600",1
"568","605",4
"587","605",5
"860","605",2
"890","627",4
"56","635",1
"559","635",4
"582","635",4
"653","635",1
"855","641",3
"549","648",6
"558","648",6
"720","648",6
"667","649",6
"383","652",5
"420","652",5
"785","652",4
"473","654",6
"811","654",1
"506","657",2
"666","657",3
"598","662",2
"936","662",3
"691","689",6
"837","693",1
"449","699",4
"518","699",5
"768","699",2
"370","701",1
"579","701",4
"695","701",3
"862","701",3
"620","707",2
"655","707",4
"670","707",6
"697","707",6
"796","707",6
"719","710",0
"677","721",2
"813","721",4
"611","730",2
"992","730",5
"214","731",5
"751","731",5
"746","735",0
"542","739",1
"765","739",1
"537","742",6
"756","742",6
"618","749",1
"750","749",4
"878","778",6
"753","799",0
"885","799",4
"829","825",1
"831","835",6
"845","835",6
"900","836",1
"358","840",1
"791","840",6
"841","840",1
"367","843",0
"838","843",3
"856","843",6
"33","868",2
"531","868",6
"588","868",6
"861","868",6
"937","868",6
"776","870",1
"848","870",3
"887","870",6
"621","881",1
"668","881",3
"759","881",6
"769","881",1
"894","881",1
"698","896",3
"715","896",5
"871","896",5
"1013","896",1
"393","903",2
"423","903",3
"717","903",4
"984","903",5
"1025","910",2
"39","911",3
"793","911",4
"934","911",3
"1000","914",4
"404","929",4
"858","929",1
"921","929",2
"922","929",6
"987","929",2
"923","931",1
"945","931",3
"718","933",1
"919","933",1
"989","933",1
"985","941",1
"574","952",1
"646","952",4
"676","952",3
"927","952",4
"943","952",5
"957","952",4
"686","959",5
"913","959",5
"972","959",5
"988","960",3
"1002","964",4
"977","978",2
"979","978",2
"556","1008",1
"716","1008",2
"758","1008",6
"842","1008",6
"969","1008",2
"1004","1008",3
"1014","1008",4
"920","1010",1
"1020","1010",1
"261","320",4
"310","320",4
"286","372",2
"317","372",4
"359","879",1
"501","879",6
"454","550",3
"479","550",3
"502","550",6
"504","550",5
"897","1009",1
"924","1009",2
"932","1009",5
"955","1009",4
"991","1009",5
"928","1017",6
"961","1017",6
"971","1017",4
"975","1017",5
"1012","1017",6
"965","1021",1
"981","1021",3
"983","1021",4
"22","23",1
"24","30",1
"278","30",6
"37","40",0
"45","44",2
"343","463",5
"49","53",0
"58","69",1
"68","69",4
"73","72",1
"4","5",1
"93","94",3
"145","1016",5
"116","98",1
"103","102",1
"322","222",1
"133","137",3
"121","202",3
"134","202",6
"289","202",3
"158","206",6
"162","207",5
"3","356",1
"532","356",1
"147","167",4
"274","285",6
"294","285",6
"236","276",5
"302","307",5
"219","309",1
"305","309",5
"623","815",5
"630","815",3
"737","815",4
"792","815",5
"950","815",3
"376","347",6
"603","585",5
"100","380",1
"350","380",4
"427","429",3
"126","409",1
"475","467",6
"853","459",3
"491","540",1
"622","540",1
"438","446",1
"867","723",4
"120","349",6
"578","584",2
"583","614",4
"60","62",1
"381","519",3
"533","587",5
"680","860",4
"55","56",1
"70","653",1
"377","653",1
"786","653",1
"355","383",3
"772","785",5
"774","785",6
"481","579",4
"551","579",6
"535","862",1
"869","862",2
"610","620",6
"708","796",5
"809","796",1
"760","751",2
"727","750",0
"850","845",6
"744","838",1
"227","531",6
"371","588",2
"512","861",3
"613","937",2
"767","848",1
"555","887",6
"546","621",1
"548","621",3
"645","668",1
"800","894",5
"688","698",3
"696","698",4
"711","715",6
"963","1013",3
"980","1013",4
"690","717",4
"990","984",5
"238","934",4
"939","934",1
"577","858",1
"951","987",3
"962","987",6
"1006","987",1
"1011","945",1
"986","989",2
"1015","989",1
"20","943",3
"118","943",1
"507","943",5
"509","943",4
"642","957",2
"834","957",5
"123","913",6
"21","972",2
"19","556",1
"464","556",2
"496","556",3
"544","556",2
"607","716",3
"639","716",6
"702","758",4
"400","842",2
"329","969",2
"589","969",2
"13","1004",1
"268","1004",2
"995","1004",5
"996","1004",6
"87","1014",2
"612","1014",4
"805","1014",3
"974","1014",4
"394","479",1
"488","504",1
"851","897",6
"893","897",6
"954","975",5
"948","1012",4
"1001","1012",1
"940","965",4
"930","983",1
"36","37",1
"38","45",1
"50","45",1
"323","343",5
"47","49",3
"74","73",1
"104","103",1
"117","121",3
"259","289",4
"295","289",4
"865","532",2
"128","147",3
"143","147",6
"197","294",1
"210","294",3
"246","294",2
"144","236",3
"209","236",6
"176","302",6
"280","302",5
"284","302",6
"543","623",3
"486","630",3
"520","630",5
"179","737",5
"333","737",5
"647","737",4
"669","737",6
"661","950",3
"827","950",5
"844","950",4
"949","950",6
"818","603",1
"300","350",5
"664","853",6
"471","583",6
"59","60",5
"34","55",1
"54","55",4
"48","70",1
"832","786",3
"442","772",1
"88","481",3
"485","551",6
"384","535",1
"523","535",6
"541","869",1
"826","809",4
"592","744",2
"408","512",6
"681","767",6
"422","555",0
"415","546",1
"348","645",0
"631","645",1
"771","800",4
"378","963",3
"906","963",6
"820","980",6
"516","690",0
"528","690",4
"138","238",2
"1022","1006",2
"958","1015",1
"1019","1015",2
"629","642",6
"451","464",4
"125","496",5
"482","544",2
"186","639",3
"351","702",3
"658","702",5
"388","400",6
"178","589",6
"517","589",5
"564","589",5
"11","13",1
"257","268",4
"993","995",6
"17","87",1
"782","805",4
"794","805",6
"387","394",6
"253","851",2
"684","851",5
"909","954",1
"998","1001",1
"51","50",1
"75","74",1
"105","104",1
"211","259",3
"239","295",1
"298","295",2
"163","197",4
"204","246",2
"140","209",4
"129","176",3
"248","284",1
"450","486",3
"411","669",4
"573","661",3
"595","661",5
"656","827",4
"935","949",6
"839","832",1
"390","442",6
"552","826",0
"905","826",0
"7","415",1
"330","348",6
"674","771",6
"314","378",3
"405","516",3
"426","629",6
"606","629",6
"46","451",1
"229","482",1
"277","482",4
"332","351",4
"515","517",6
"2","11",1
"8","11",2
"9","11",1
"181","782",5
"634","782",5
"762","782",6
"325","794",6
"766","909",5
"76","75",1
"106","105",1
"303","298",1
"299","411",6
"243","935",2
"725","935",3
"875","935",5
"633","839",1
"953","839",3
"155","552",5
"296","515",6
"164","181",1
"77","76",1
"107","106",1
"301","303",6
"326","303",1
"168","243",6
"78","77",1
"108","107",1
"318","326",5
"510","326",1
"109","108",1
"453","510",6
"110","109",1
"111","110",1
"112","111",1
"113","112",1
"114","113",1
"115","114",1
