"SMILES","MolWt","LogP","TPSA","LabuteASA","NumHAcceptors","NumHDonors","NumRotatableBonds","RingCount","NumAromaticRings","ExactMolWt"
"c1cc(c2cc[nH]c2c1)C(=O)O",161.16,1.8661,53.09,78.6224464304231,1,2,1,2,2,161.047678464
"c1ccc2c(c1)c(c[nH]2)C=O",145.161,1.9804,32.86,73.7415424200999,1,1,1,2,2,145.052763844
"c1ccc2c(c1)c(c[nH]2)CO",147.177,1.6602,36.02,77.270865330715,1,2,1,2,2,147.068413908
"c1ccc2c(c1)c(c[nH]2)C(=O)O",161.16,1.8661,53.09,78.6224464304231,1,2,1,2,2,161.047678464
"c1cc2c(cc[nH]2)cc1C(=O)O",161.16,1.8661,53.09,78.6224464304231,1,2,1,2,2,161.047678464
"CC(=O)Oc1c[nH]c2ccccc12",175.187,2.0932,42.09,88.029970764339,2,1,1,2,2,175.063328528
"c1cc2c(cc1O)c(CC(=O)O)c[nH]2",191.186,1.5006,73.32,92.6782335554786,2,3,2,2,2,191.058243148
"Cc1c(CC(=O)O)c2cc(ccc2[nH]1)OC",219.24,2.11202,62.32,111.260641004127,2,2,3,2,2,219.089543276
"CC(=CCNc1c2c(nc[nH]2)ncn1)C",203.249,1.731,66.49,106.046871505151,4,2,3,2,2,203.117095416
"c1ccc2c(c1)c(CC(=O)O)c[nH]2",175.187,1.795,53.09,87.7973295451553,1,2,2,2,2,175.063328528
"c1ccc2c(c1)c(CC(=O)NC(Cc1c[nH]cn1)C(=O)O)c[nH]2",312.329,1.2456,110.87,154.040349545673,3,4,6,3,3,312.122240372
"CC(C(=O)O)NC(=O)Cc1c[nH]c2ccccc12",246.266,1.2997,82.19,123.686449305074,2,3,4,2,2,246.100442308
"CSCCC(C(=O)O)NC(=O)CC1=CN=C2[CH]C=CC=C12",305.379,1.73799,78.76,151.482767266106,4,2,7,2,0,305.095988404
"c1ccc2c(c1)c(CC(=O)NC(CO)C(=O)O)c[nH]2",262.265,0.272099999999999,102.42,128.567353315398,3,4,5,2,2,262.095356928
"CC(C(C(=O)O)NC(=O)CC1=CN=C2[CH]C=CC=C12)O",275.284,0.36569,98.99,137.065678136332,4,3,5,2,0,275.10318196
"c1ccc2c(c1)c(CC(C(=O)O)NC(=O)Cc1c[nH]c3ccccc13)c[nH]2",361.401,3.0038,97.98,181.717277596965,2,4,6,4,4,361.142641468
"c1ccc2c(c1)c(CC(=O)NC(Cc1ccc(cc1)O)C(=O)O)c[nH]2",338.363,2.2281,102.42,169.244329522133,3,4,6,3,3,338.126657056
"CC(C(=O)O)NC(=O)CCCc1c[nH]c2ccccc12",274.32,2.0799,82.19,142.036215534539,2,3,6,2,2,274.131742436
"c1ccc(cc1)CC(C(=O)O)NC(=O)CCCc1c[nH]c2ccccc12",350.418,3.3027,82.19,182.713191741274,2,3,8,3,3,350.163042564
"CC(=O)Oc1cn(c2ccccc12)OC(=O)C",233.223,1.5417,57.53,112.950816676853,5,0,2,2,2,233.068807832
"c1cc(c2c(c(CC(=O)O)c[nH]2)c1Cl)Cl",244.077,3.1018,53.09,105.593920998583,1,2,2,2,2,242.985383824
"c1ccc2c(c1)c(CCC(=O)O)c[nH]2",189.214,2.1851,53.09,96.9722126598876,1,2,3,2,2,189.078978592
"c1ccc2c(c1)c(CCO)c[nH]2",161.204,1.7027,36.02,86.4457484454472,1,2,2,2,2,161.084063972
"c1cc2c(c(CC(=O)O)c[nH]2)c(c1Cl)Cl",244.077,3.1018,53.09,105.593920998583,1,2,2,2,2,242.985383824
"C(c1c[nH]c2cc(cc(c12)Cl)Cl)C(=O)O",244.077,3.1018,53.09,105.593920998583,1,2,2,2,2,242.985383824
"C(c1c[nH]c2c1cc(cc2Cl)Cl)C(=O)O",244.077,3.1018,53.09,105.593920998583,1,2,2,2,2,242.985383824
"Cc1c(CC(=O)O)c2cc(ccc2[nH]1)Cl",223.659,2.75682,53.09,105.870508386601,1,2,2,2,2,223.04000624
"c1cc(c(c2c1c(CC(=O)O)c[nH]2)Cl)Cl",244.077,3.1018,53.09,105.593920998583,1,2,2,2,2,242.985383824
"c1cc2c(CC(=O)O)c[nH]c2cc1Cl",209.632,2.4484,53.09,96.6956252718692,1,2,2,2,2,209.024356176
"c1cc2c(CC(=O)O)c[nH]c2c(c1)Cl",209.632,2.4484,53.09,96.6956252718692,1,2,2,2,2,209.024356176
"C=C1CC23CC1CCC2C12CCC(C(C)(C1C3C(=O)O)C(=O)O2)O",332.396,2.1362,83.83,174.507139741406,4,2,1,5,0,332.162373868
"C=C1CC23CC1CCC2C12C=CC(C(C)(C1C3C(=O)O)C(=O)O2)O",330.38,1.9122,83.83,171.007595708887,4,2,1,5,0,330.146723804
"C=C1CC23CC1CCC2C12CCCC(C)(C1C3C(=O)O)C(=O)O2",316.397,3.1654,63.6,169.626235731083,3,1,1,5,0,316.167459248
"CC(=CC(=O)O)C=CC1(C(=CC(=O)CC1(C)C)C)O",264.321,2.2499,74.6,140.95806260339,3,2,3,1,0,264.13615912
"c1ccc2c(c1)ccc(=O)o2",146.145,1.793,30.21,71.5092295762918,2,0,0,2,2,146.036779432
"c1cc(c(cc1C(=O)O)O)O",154.121,0.796,77.76,71.030402365914,3,3,1,1,1,154.026608672
"c1cc(c(cc1C=CC(=O)OC1CC(CC(C1O)O)(C(=O)O)O)O)O",354.311,-0.645900000000001,164.75,167.396872572304,8,6,4,2,1,354.095082156
"c1c(cc(c(c1O)O)O)C(=O)O",170.12,0.5016,97.99,75.9113063762372,4,4,1,1,1,170.021523292
"c1ccc(cc1)C=CC(=O)O",148.161,1.7844,37.3,76.118816542212,1,1,2,1,1,148.052429496
"c1cc(cnc1)C(=O)O",123.111,0.7798,50.19,59.0832718260462,2,1,1,1,1,123.0320284
"Cc1c[nH]c(=O)[nH]c1=O",126.115,-0.62838,65.72,59.1046216613577,2,2,0,1,1,126.042927432
"COc1cc(ccc1O)C(=O)O",168.148,1.099,66.76,80.4379266998298,3,2,2,1,1,168.042258736
"C(=CC(=O)O)C(=O)O",116.072,-0.2882,74.6,50.8492085602404,2,2,2,0,0,116.010958608
"c1ccc(c(c1)CO)OC1C(C(C(C(CO)O1)O)O)O",286.28,-1.6424,119.61,140.901246280395,7,5,4,2,1,286.105252916
"CC(=CCCC(=CCO)C)C",154.253,2.6714,20.23,94.8148970063743,1,1,4,0,0,154.135765196
"C(C(=O)O)C(CC(=O)O)(C(=O)O)O",192.123,-1.2485,132.13,83.8119079425794,4,4,5,0,0,192.027002596
"CC(C)C(C(=O)O)N",117.148,0.0543000000000001,63.32,64.1521250591183,2,2,2,0,0,117.078978592
"CC(=O)NC",73.095,-0.2477,29.1,41.0733696736876,1,1,0,0,0,73.052763844
"CCNC(=O)C",87.122,0.1424,29.1,50.2482527884199,1,1,1,0,0,87.068413908
"CCC(=O)N(C)C",101.149,0.4846,20.31,59.5750507575091,1,0,1,0,0,101.084063972
"c1ccc(cc1)C(=O)N",121.139,0.7855,43.09,63.2486647966014,1,1,1,1,1,121.052763844
"CN=C(c1ccccc1)O",135.166,1.621,32.59,72.5822483459839,1,1,1,1,1,135.068413908
"CCNC(=O)c1ccccc1",149.193,1.4363,29.1,81.7503458804228,1,1,2,1,1,149.084063972
"CCCNC(=O)c1ccccc1",163.22,1.8264,29.1,90.9252289951551,1,1,3,1,1,163.099714036
"CCCCNC(=O)c1ccccc1",177.247,2.2165,29.1,100.100112109887,1,1,4,1,1,177.1153641
"CCCCCNC(=O)c1ccccc1",191.274,2.6066,29.1,109.27499522462,1,1,5,1,1,191.131014164
"CCCCCCNC(=O)c1ccccc1",205.301,2.9967,29.1,118.449878339352,1,1,6,1,1,205.146664228
"CCCCCCCNC(=O)c1ccccc1",219.328,3.3868,29.1,127.624761454084,1,1,7,1,1,219.162314292
"CCCCCCCCNC(=O)c1ccccc1",233.355,3.7769,29.1,136.799644568816,1,1,8,1,1,233.177964356
"CCCCCCCCCNC(=O)c1ccccc1",247.382,4.167,29.1,145.974527683548,1,1,9,1,1,247.19361442
"CCCCCCCCCCNC(=O)c1ccccc1",261.409,4.5571,29.1,155.149410798281,1,1,10,1,1,261.209264484
"CCCCCCCCCCCNC(=O)c1ccccc1",275.436,4.9472,29.1,164.324293913013,1,1,11,1,1,275.224914548
"CCCCCCCCCCCCNC(=O)c1ccccc1",289.463,5.33730000000001,29.1,173.499177027745,1,1,12,1,1,289.240564612
"CCCCCCCCCCCCCNC(=O)c1ccccc1",303.49,5.72740000000001,29.1,182.674060142477,1,1,13,1,1,303.256214676
"CCCCCCCCCCCCCCNC(=O)c1ccccc1",317.517,6.11750000000001,29.1,191.84894325721,1,1,14,1,1,317.27186474
"CCCCCCCCCCCCCCCNC(=O)c1ccccc1",331.544,6.50760000000001,29.1,201.023826371942,1,1,15,1,1,331.287514804
"CCCCCCCCCCCCCCCCNC(=O)c1ccccc1",345.571,6.89770000000001,29.1,210.198709486674,1,1,16,1,1,345.303164868
"CCN(CC)C(=O)C",115.176,0.8747,20.31,68.7499338722413,1,0,2,0,0,115.099714036
"C=CCNc1ccccc1",133.194,2.2845,12.03,76.8992207481948,1,1,3,1,1,133.089149352
"c1ccc2c(c1)cc(cc2O)O",160.172,2.251,40.46,81.1146396732212,2,2,0,2,2,160.052429496
"Cc1cc(=O)oc2cc(ccc12)N",175.187,1.68362,56.23,87.5450871526813,3,1,0,2,2,175.063328528
"c1ccc(cc1)c1cc2ccccc2[nH]1",193.249,3.8349,15.79,103.892054412395,0,1,1,3,3,193.089149352
"CCOC(CNc1ccccc1)OCC",209.289,2.4976,30.49,118.150504583925,3,1,7,1,1,209.141578848
"CCCC[N+](CCCC)(CCCC)CCCC",242.471,5.0036,0,160.762125906618,0,0,12,0,0,242.28422657209
"CCCCCCCCCCCC(=O)c1ccccc1",260.421,5.79020000000001,17.07,157.311404596999,1,0,11,1,1,260.214015516
"CCCCC[N+](CCCCC)(CCCCC)CCCCC",298.579,6.56400000000001,0,197.461658365547,0,0,16,0,0,298.34682682809
"CCCCCOC(=O)c1ccccc1C(=O)OCCCCC",306.402,4.3806,52.6,168.890076155721,4,0,10,1,1,306.183109312
"CC12C=CC(=O)C=C1CCC1C3CCC(C(=O)CO)(C3(C)CC(=O)C21)O",358.434,1.7658,91.67,189.411169962417,5,2,2,4,0,358.178023932
"COc1cc(C=CC(=O)CC(=O)C=Cc2ccc(c(c2)OC)O)ccc1O",368.385,3.3699,93.06,184.805122973866,6,2,8,2,2,368.12598836
"CC(=O)NP(=O)(OC)SC",183.169,1.24,55.4,78.0709427005569,4,1,3,0,0,183.01190081
"c1cc(c(cc1Cl)Cl)C1(Cn2cncn2)OCCO1",300.145,2.4847,49.17,135.057614482149,5,0,3,3,2,299.022831952
"CCOP(=S)(OCC)SCn1c(=O)c2ccccc2nn1",345.386,2.7797,66.24,153.776693844771,8,0,7,2,2,345.037070002
"COP(=S)(OC)SCn1c(=O)c2ccccc2nn1",317.332,1.9995,66.24,135.426927615307,8,0,5,2,2,317.005769874
"CC(C)N1C(=NC(C)(C)C)SCN(c2ccccc2)C1=O",305.447,4.1822,35.91,163.088936565469,3,0,2,2,1,305.156183356
"CCN(C1CCCCC1)C(=O)SCC",215.362,3.5141,20.31,120.931687317403,2,0,3,1,0,215.134385292
"Cc1ccc(c(C)c1)N=c1n(C)ccs1",218.325,2.93584,17.29,113.218215894914,3,0,1,2,2,218.087769448
"CC(C1CC1)C(Cn1cncn1)(c1ccc(cc1)Cl)O",291.782,2.8654,50.94,148.337781650941,4,1,5,3,2,291.113839876
"c1cc(cc(c1)Oc1c(cccn1)C(=O)Nc1ccc(cc1F)F)C(F)(F)F",394.299,5.4232,51.22,170.660462403239,3,1,4,3,3,394.074068692
"Cc1cccc(C)c1N(CCOC)C(=O)CCl",255.745,2.52164,29.54,132.613634149929,2,0,5,1,1,255.102606496
"Cc1ccc(C)c(c1)OCc1ccccc1C(=NOC)C(=O)NC",326.396,2.97894,59.92,172.798335490271,4,1,6,2,2,326.163042564
"CCOP(=S)(OCC)SCCSCC",274.413,3.7702,18.46,127.503438309743,5,0,9,0,0,274.028479478
"CCOP(=O)(NC(C)C)Oc1ccc(c(C)c1)SC",303.364,4.23832,47.56,150.372618016296,4,1,7,1,1,303.105801194
"CC(C)N(c1ccc(cc1)F)C(=O)COc1nnc(C(F)(F)F)s1",363.336,3.5164,55.32,156.68792192629,5,0,5,2,2,363.066460536
"c1cc(c(c(c1)Cl)C(=O)NCc1c(cc(cn1)C(F)(F)F)Cl)Cl",383.584,4.9906,41.99,155.218581456354,2,1,3,2,2,381.965430576
"CCC(C)SP(=O)(N1CCSC1=O)OCC",283.355,3.8315,46.61,130.404611000075,5,0,6,1,0,283.046572066
"CC(C)NP(=S)(OC)Oc1ccccc1C(=O)OC(C)C",331.374,3.4995,56.79,161.719834863616,5,1,7,1,1,331.100715814
"CC(C)OC(=O)C(=C1SCCS1)C(=O)OC(C)C",290.406,2.5812,52.6,141.144003813331,6,0,4,1,0,290.064651056
"C1CCC(CC1)n1c(=O)c2CCCc2[nH]c1=O",234.299,1.5305,54.86,125.024057125843,3,1,1,3,1,234.136827816
"COP(=O)(N)SC",141.132,1.0626,52.32,58.2176805170274,3,1,2,0,0,141.001336126
"CCCCC(C#N)(Cn1cncn1)c1ccc(cc1)Cl",288.782,3.58328,54.5,147.450317975448,4,0,6,2,2,288.114174224
"CCCN(CCOc1c(cc(cc1Cl)Cl)Cl)C(=O)n1ccnc1",376.671,4.6024,47.36,171.741157583581,4,0,6,2,2,375.030809792
"CCCn1c(=O)c2cc(ccc2nc1OCCC)I",372.206,3.1999,44.12,149.373391739547,4,0,5,2,2,372.033475784
"CCC(C)(C)C(=O)OC1=C(c2ccc(cc2Cl)Cl)C(=O)OC21CCCCC2",411.325,5.9436,52.6,203.080228613095,4,0,4,3,1,410.105164608
"CCCN(CC)CC1COC2(CCC(CC2)C(C)(C)C)O1",297.483,4.0663,21.7,180.092496300604,3,0,5,2,0,297.26677936
"CCC(=NOCC)C1=C(CC(CC1=O)c1c(C)cc(C)cc1C)O",329.44,4.67296,58.89,181.784694365079,4,1,5,2,1,329.199093724
"COP(=O)(OC)SCn1c2c(cc(cn2)Cl)oc1=O",324.682,2.7345,83.56,130.727709559436,8,0,5,2,2,323.97365673
"Cc1cccc(C)c1N(C(C)C(=O)OC)C(=O)Cc1ccccc1",325.408,3.44064,46.61,174.918778844391,3,0,5,2,2,325.167793596
"Cc1c(cccc1c1ccccc1)COC(=O)C1C(C=C(C(F)(F)F)Cl)C1(C)C",422.874,6.66242,26.3,203.791717167113,2,0,5,3,2,422.126042284
"c1cc(c(cc1Cl)Cl)C1(CC(CO1)Br)Cn1cncn1",377.069,3.6642,39.94,151.581529472847,4,0,3,3,2,374.954079464
"CCCCc1c(C)nc(NCC)nc1OS(=O)(=O)N(C)C",316.427,1.74462,84.42,160.325547599017,6,1,8,1,1,316.156911628
"CCOP(=O)(OCC)OC(=CCl)c1ccc(cc1Cl)Cl",359.573,5.7283,44.76,152.401084819682,4,0,7,1,1,357.969528598
"CCOP(=S)(OCC)Oc1c(cc(c(Cl)n1)Cl)Cl",350.591,4.7181,40.58,141.195857532254,5,0,6,1,1,348.926283882
"CCOP(=S)(OCC)Oc1ccc2c(C)c(c(=O)oc2c1)Cl",362.771,4.43112,57.9,160.407475168568,6,0,6,2,2,362.014458922
"CCOP(=S)(OCC)Oc1cc(C)nc(C(C)C)n1",304.352,3.58472,53.47,149.01518029182,6,0,7,1,1,304.101050162
"COP(=O)(OC)OC=C(Cl)Cl",220.976,2.6804,44.76,84.4760466567689,4,0,4,0,0,219.945900694
"CC(C)(C)C(C(=Cc1ccc(cc1Cl)Cl)n1cncn1)O",326.227,3.99,50.94,157.552305499,4,1,3,2,2,325.074867524
"c1ccc(c(c1)C1C(Cn2cncn2)(c2ccc(cc2)F)O1)Cl",329.762,3.7376,43.24,155.308431520689,4,0,4,4,3,329.073117936
"CCOP(=S)(OCC)SCSP(=S)(OCC)OCC",384.487,5.0053,36.92,165.352224851861,8,0,12,0,0,383.987616444
"CCCSP(=O)(OCC)SCCC",242.346,4.4174,26.3,116.221490016489,4,0,8,0,0,242.056408478
"c1ccc(c(c1)C(c1ccc(cc1)Cl)(c1cncnc1)O)Cl",331.202,4.0676,46.01,154.696912074015,3,1,3,3,3,330.032668364
"c1ccc(cc1)C(CCc1ccc(cc1)Cl)(C#N)Cn1cncn1",336.826,4.02588,54.5,169.777527952719,4,0,6,3,3,336.114174224
"c1cc(c(cc1Cl)Cl)n1c(=O)c2cc(ccc2nc1n1cncn1)F",376.178,3.4123,65.6,160.876758907832,6,0,2,4,4,375.008993456
"C[Si](Cn1cncn1)(c1ccc(cc1)F)c1ccc(cc1)F",315.399,1.9885,30.71,148.888972752072,3,0,4,3,3,315.10033045
"CCCCC(Cn1cncn1)(c1ccc(cc1Cl)Cl)O",314.216,3.6629,50.94,151.876966416787,4,1,6,2,2,313.074867524
"C=CCOC(Cn1ccnc1)c1ccc(cc1Cl)Cl",297.185,4.1338,27.05,141.652049439535,3,0,6,2,2,296.048318428
"CC(C)C1CCC(Cc2ccc(cc2)Cl)C1(Cn1cncn1)O",333.863,3.5875,50.94,175.862430995138,4,1,5,3,2,333.160790068
"CC1(C)CCC(Cc2ccc(cc2)Cl)C1(Cn1cncn1)O",319.836,3.3415,50.94,166.687547880405,4,1,4,3,2,319.145140004
"CCCC1COC(Cn2cncn2)(c2ccc(cc2Cl)Cl)O1",342.226,3.6534,49.17,162.582263826345,5,0,5,3,2,341.069782144
